STRING_KEY,STRING_VALUE,CATEGORY_NAME,REC_DATE,REC_FUL_NAM,REC_STATUS,COUNTRY_CODE,LANG_CODE
per_attachment_Label_file|sub,HTML files cannot be uploaded.,ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
ACA_AccelaRadioButtionList_ErrorMessage, is required.,ACA Admin,25-Jul-08,ADMIN,A,US,en
message.capprofessional.licenses.expired, License {0} is expired or inactive.,Error - Inspections,23-Mar-08,ADMIN,A,US,en
feevaluation.feevaluationnewform.useTyp.label, Occupancy, Fee Valuation New Form label, 19-Oct-05,DLL,A,US,en
per_cap_edit_needParcelInfo, Parcel Number is required if Parcel Information is entered.,ACA Admin,2/28/2008,ADMIN,A,US,en
errors.cap.check4groupdate.system,Records failed to update because of a system error. Please contact your agency administrator for help.,Messages - Status,4/16/2008,DLL,A,US,en
per_severity_descirption,Severity: ,ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_attachment_label_pageIndicator, Showing {0}-{1} of {2} ,ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_pageIndicator, Showing {0}-{1} of {2} ,ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
ACA_AccelaGridView_PageIndicator, Showing {0}-{1} of {2} ,ACA Admin,25-Jul-08,ADMIN,A,US,en
document.documentform.status.label,Document Status,Portlet - Document Details,16-Apr-07,Jon,A,US,en
displayorder.setup.tabname.label, Tab Name,Portlet - DisplayOrder Form,3/30/2009,DLL,A,US,en
calendar.cap.monthly.eventitem.prompt,"The calendar item was created. However, the time and/or date you entered is not available.",ACA Admin,2/28/2008,ADMIN,A,US,en
calendar.cap.monthly.eventitem.supervisor.prompt,"The calendar item was created. However, the time and/or date you entered is not available. Would you like to assign the current application to the calendar item anyway?",ACA Admin,2/28/2008,ADMIN,A,US,en
comment.text.length.exceed.prompt,The comment text is too long.,Portlet - Comment,10/20/2009,ADMIN,A,US,en
feevaluation.feevaluationnewform.conTyp.label, Unit Type, Fee Valuation New Form_21101, 19-Oct-05,DLL,A,US,en
rule.hint.admin.form.operatormatach.label,""">>"" can be used only with the ""Date"" data type.",Error - Rule,31-Aug-04,DLL,A,US,en
inspection.inspectionlist.index.label,#,ACA Admin,6/24/2008,ADMIN,A,US,en
attachment.attachmentform.set.label,# of Sets,Portlet - Attachment Form_28,31-Aug-04,DLL,A,US,en
eventType.list.eventTypeAttempts.label,# Scheduling Attempts,Portlet - Setup Calendar,1/21/2008,ADMIN,A,US,en
calendarForm.details.scheduleAttempts.label,# Scheduling Attempts,Portlet - Setup Calendar,12/5/2007,ADMIN,A,US,en
calendarForm.details.calendarReason.label,Meeting Reason,Portlet - Setup Calendar,9/6/2009,ADMIN,A,US,en
calendarForm.details.defaultLocation.label,Location,Portlet - Setup Calendar,9/6/2009,ADMIN,A,US,en
calendarForm.details.calendarContacts.label,Contacts,Portlet - Setup Calendar,9/6/2009,ADMIN,A,US,en
calendarForm.details.emailNotification.label,Send E-mail Notification To,Portlet - Setup Calendar,July/20/2009,ADMIN,A,US,en
calendarForm.details.emailNotification.primaryLPAndContact.label,Primary Licensed Professional and Contact,Portlet - Setup Calendar,July/20/2009,ADMIN,A,US,en
calendarForm.details.emailNotification.allLPAndContact.label,All Licensed Professionals and Contacts,Portlet - Setup Calendar,July/20/2009,ADMIN,A,US,en
calendarForm.details.emailNotification.lp.label,License Professionals,Portlet - Setup Calendar,July/20/2009,ADMIN,A,US,en
calendarForm.details.emailNotification.Contacts.label,Contacts,Portlet - Setup Calendar,July/20/2009,ADMIN,A,US,en
calendarform.details.department.label,Department,Portlet - Setup Calendar,11/16/2010,ADMIN,A,US,en
calendarform.details.user.label,User,Portlet - Setup Calendar,11/16/2010,ADMIN,A,US,en
ams.assetTypeSecurity.contactTab.label,Contact Tab,AMS,30-Jul-09,ADMIN,A,US,en
eventType.list.eventTypeUnit.label,# Units Allocated,Portlet - Setup Calendar,1/21/2008,ADMIN,A,US,en
eventType.list.calendarType.label,Calendar Type,Portlet - Calendar,8-Jun-09,DLL,A,US,en
eventType.list.statusGroup.label,Status Group,Portlet - Calendar,8-Jun-09,DLL,A,US,en
calendarForm.details.unitsAllocatedPerDay.label,# Units Allocated per Day,Portlet - Setup Calendar,1/2/2009,ADMIN,A,US,en
org.apache.struts.taglib.bean.format.int,###,Portlet - Workload,31-Aug-04,DLL,A,US,en
org.apache.struts.taglib.bean.format.float,###.##,Portlet - Workload,31-Aug-04,DLL,A,US,en
aca.creditCardPayment.resultcodeVM3001.label,#.,ACA,2/13/2009,ADMIN,A,US,en
aca.creditCardPayment.resultcodeVM3002.label,#.,ACA,2/13/2009,ADMIN,A,US,en
errors.ams.assetid.notallowed,'%' is not allowed.,Error - AMS,28-Jun-05,AMS,A,US,en
structure.refstructurelist.percentparcelsareaused.label,% of Parcel(s) Area Used by Structure,Portlet - Reference Structure List_30084,31-Aug-04,DLL,A,US,en
structure.refstructurelist.percentstructure.label,% of Structures,Portlet - Reference Structure List_30084,31-Aug-04,DLL,A,US,en
per_applyPermit_label_backAppReg,&laquo; Back,ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
aca_asi_table_drill_down_back_action,&laquo; Back,ACA Admin,8/25/2008 14:10,ADMIN,A,US,en
aca_calendar_prev_month,&laquo; Prev,ACA Admin,5/22/2008,ADMIN,A,US,en
ACA_NextPrevNumbericPagerTemplate_PrevText,&lt; Prev,ACA Admin,25-Jul-08,ADMIN,A,US,en
aca_permitDetail_label_hideAdditionalLPs,&lt;&lt;Hide Additional Licensed Professionals,ACA Admin,6/6/2008,ADMIN,A,US,en
aca_permitDetail_label_hideAdditionalLocations,&lt;&lt;Hide Additional Locations,ACA Admin,6/6/2008,ADMIN,A,US,en
Admin_Pageflow_lnkHideDetails,&lt;&lt;Hide Details,ACA Admin,6/26/2008,ADMIN,A,US,en
Admin_CapTypeFilter_lnkHideDetails,&lt;&lt;Hide Details,ACA Admin,27-Aug-08,ADMIN,A,US,en
WorkStatus_TSI_Label_AdditionalInfo,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Additional Information:</strong>,ACA Admin,12/26/2007 14:06,ADMIN,A,US,en
admin_dropdownlist_nullvalue_errormes,&nbsp; The Value field cannot be empty.,ACA Admin,7/7/2009,ADMIN,A,US,en
mycollection_top_link,({0}),ACA Admin,4/14/2009,ADMIN,A,US,en
errors.fee.feeadd.quantity,"(0,1) is expected for the current fee item quantity field",Portlet - Fee List_20001,5-Feb-07,DLL,A,US,en
acc_userInfoForm_label_answer|sub,(20 characters maximum),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
acc_userInfoForm_label_user|sub,"(4-32 characters may contain letters, numbers, and these special characters:  @  _  - .)",ACA Admin,10/16/2008 14:06,ADMIN,A,US,en
acc_userInfoForm_label_passoword|sub,(8-20 characters),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitPayFee_label_routingNbr|sub,(9-digit),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
phonenumber.countrycode.IDD.help.label,(Country),Portlet - contact,14-Aug-08,ADMIN,A,US,en
contact.contactform.countryNumberPhone.label,(Country) (Phone Numbers),Portlet - Contact,8-Aug-08,ADMIN,A,US,en
contact.contactform.countrynumberfax.label,Country Fax Number,Portlet - Contact,20-Apr-10,ADMIN,A,US,en
admin_global_setting_label_gis_portlet_url|sub,"(e.g. ""http://arcgis-server/dotnetweb/portlet/Portlet.aspx"")",ACA Admin,4/26/2008,ADMIN,A,US,en
per_permitList_label_fraction|sub,(e.g. 1/2),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_number|sub,(e.g. 100),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitPayFee_label_federalTaxIDNbr|sub,(e.g. 123-456-7890),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitPayFee_label_socialSecurityNbr|sub,(e.g. 123-456-7890),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_unit|sub,(e.g. 5),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_unitType|sub,(e.g. Apt),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitPayFee_label_driverLicenseNbr|sub,(e.g. CA-B1234567),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_street|sub,(e.g. Main),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_direction|sub,(e.g. N),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
APO_Search_by_Address_StreetName|sub,(e.g. Main),ACA Admin,24-Dec-07,ADMIN,A,US,en
APO_Search_by_Address_Direction|sub,(e.g. S),ACA Admin,24-Dec-07,ADMIN,A,US,en
per_permitPayFee_label_accountNbr|sub,(Enter the account number exactly as it appears.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
ACA_AccelaCommonText_ForExample,(For example:{0}),ACA Admin,25-Jul-08,Admin,A,US,en
srq_GISAddressLocator_label_footer,(I am done adding locations.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
acc_reg_label_moreLicense,(I have more licenses.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
acc_reg_label_anotherLicense,(I need to find another license.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
acc_reg_label_addLicense,(I am done adding licenses.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
admin_global_setting_label_timeout_period|sub,(minutes),ACA Admin,4/20/2008,ADMIN,A,US,en
APO_Search_by_Permit_EndDate|sub,(mm/dd/yyyy),ACA Admin,24-Dec-07,ADMIN,A,US,en
APO_Search_by_Permit_StartDate|sub,(mm/dd/yyyy),ACA Admin,24-Dec-07,ADMIN,A,US,en
per_permitList_label_endDate|sub,(mm/dd/yyyy),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_startDate|sub,(mm/dd/yyyy),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitList_label_dataFormat|sub,(mm/dd/yyyy),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
common.asi.hint.money.label,(Money),Common - ASI,25-Jul-08,ADMIN,A,US,en
APO_Search_by_Owner_OwnerName|sub,(Must be entered exactly as on the record),ACA Admin,24-Dec-07,ADMIN,A,US,en
portlet.title.userTimeAccountNewProfile.label,(New Profile),Portlet - Title,26-May-08,DLL,A,US,en
common.asi.hint.number.label,(Number),Common - ASI,25-Jul-08,ADMIN,A,US,en
planreview_planfees_label_optional,(Optional),ACA Admin,12/25/2008,ADMIN,A,US,en
admin.timeaccount.timeprofiletype.override,(Override),Time Accounting,5-Nov-08,Tony,A,US,en
timeaccount.profiletypefrom.usebillingrate.radio.label,(Override) Use Billing Rate,Portlet - Time Account Profile Type Form,3-Apr-08,ADMIN,A,US,en
timeaccount.profiletypefrom.useprofilehourlyrate.radio.label,(Override) Use Profile Hourly Rate,Portlet - Time Account Profile Type Form,3-Apr-08,ADMIN,A,US,en
timeaccount.profiletypefrom.usetimetyperatepct.radio.label,(Override) Use Time Type Rate/Pct,Portlet - Time Account Profile Type Form,3-Apr-08,ADMIN,A,US,en
per_confirmApp_label_comment|sub,(Please include an alternate phone number if different from the contact information provided in your ,ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_confirmAppoint_label_comment|sub,(Please include an alternate phone number if different from the contact information provided in your application.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
asitabledrilldown.popwindow.singleSelect.label,(Please select one option.),Portlet - ASI Table Drill Down,19-Aug-08,DLL,A,US,en
asitabledrilldown.popwindow.multipleSelect.label,(Press and hold the control key to select multiple items.),Portlet - ASI Table Drill Down,19-Aug-08,DLL,A,US,en
per_permitPayFee_label_sumbitPayment|sub,(Processing may take a moment. Click only once to avoid duplicate charges.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitPayFee_label_sumbitPaymentFee|sub,(Processing may take a moment. Click only once to avoid duplicate charges.),ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
per_permitPayFee_label_sumbitPaymentPay|sub,(Processing may take a moment. Click only once to avoid duplicate charges.),ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
admin.timeaccount.timeprofiletype.profile,(Profile),Time Accounting,5-Nov-08,Tony,A,US,en
com_welcome_label_searchInpsection|sub,"(Restaurants, Seismic, Safety)",ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
tabbar.cap.sectionnotrequired.label,(This section is not required.),Tab bar - CAP,13-Nov-06,ADMIN,A,US,en
tabbar.cap.sectionrequired.label,(This section is required.),Tab bar - CAP,13-Nov-06,ADMIN,A,US,en
supervisor_spearformpage_instruction,(Select supervisor for each Licensed Professional),ACA Admin,4/29/2009,ADMIN,A,US,en
supervisor_detailpage_instruction,(Select supervisor for each Licensed Professional),ACA Admin,4/29/2009,ADMIN,A,US,en
workflow.email.hint.label,(Separate multiple e-mail addresses with a semicolon.),Portlet - Process Email,10-Jun-05,DLL,A,US,en
reportDetail.sendEmail.note.label,(Separate multiple e-mail addresses with a semicolon.),Report Manager,20-Aug-08,ADMIN,A,US,en
fee.inputBatchNumber.shouldNum.label,(Should be a number.),portlet - Fee,25-Jul-08,DLL,A,US,en
timeaccount.profiletypelist.hourlyratesource.label,(Source),Portlet - Time Account Profile Type List,3-Apr-08,ADMIN,A,US,en
timeaccount.profiletypelist.percentadjsource.label,(Source),Portlet - Time Account Profile Type List,3-Apr-08,ADMIN,A,US,en
common.asi.hint.text.label,(Text),Common - ASI,25-Jul-08,ADMIN,A,US,en
common.asi.hint.textarea.label,(Text Area),Common - ASI,25-Jul-08,ADMIN,A,US,en
acc_userInfoForm_label_emailInfo|sub,(This is your user name.),ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
admin.timeaccount.timeprofiletype.timetype,(Time Type),Time Accounting,5-Nov-08,Tony,A,US,en
common.today.label,(today),Common,31-Aug-04,DLL,A,US,en
acc_userInfoForm_label_securityQuestion|sub,(used for identification if you forget your login information),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
admin.timeaccount.timeprofiletype.user,(User),Time Accounting,5-Nov-08,Tony,A,US,en
per_permitIssuance_label_printPermit|sub,(You must post the record in the work area.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
per_permitIssuance_label_viewPermit|sub,(You must post the record in the work area.),ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
cap.capvoid.remind.label,* This action will be recorded in the Workflow History.,Message - cap void,12/19/2006,DLL,A,US,en
errors.modeling.capform.fakecapid.label,*** MODEL ***,Error - Modeling,31-Oct-05,VXU,A,US,en
error.js.calendarDailyEdit.numRequired,* number required,Error - Js,25-Jul-08,DLL,A,US,en
error.js.calendarDailyEdit.required,* Required,Error - Js,25-Jul-08,DLL,A,US,en
ams.wovalidate.completeDate2.label,Completed Date,AMS,11-Mar-09,ADMIN,A,US,en
ams.wovalidate.scheduleDate2.label,",Scheduled Date",AMS,9-Mar-09,ADMIN,A,US,en
page.emptyspace.label,.,Common,31-Aug-04,DLL,A,US,en
ams.data.dataform.commonelement.label,.,not exist in jsp files,31-Aug-04,AMS,A,US,en
workflow.processeditform.specialinfo.inpossessiontime.label,[In Possession Time: {0} hrs],Portlet - Process Form_19,24-Apr-07,DLL,A,US,en
common.recordnotexist.message.label,"'[RecordNotExistError] Sorry', we cannot find a correlative record for you.",Common-error,22-Sep-05,DLL,A,US,en
error.js.opos.confirm,\nClick OK to continue. Click Cancel to stop.,Error - Js,25-Jul-08,DLL,A,US,en
common.error.message.mark,{0},portlet,9/1/2006,DLL,A,US,en
publicuser.registerform.workphone.mask,{0},Portlet - Public User Registration Form,31-Aug-04,DLL,A,US,en
publicuser.registerform.zip.mask,{0},Portlet - Public User Registration Form,31-Aug-04,DLL,A,US,en
publicuser.registerform.cellphone.mask,{0},Portlet - publicuser register,31-Aug-04,DLL,A,US,en
publicuser.registerform.homephone.mask,{0},Portlet - Public User,31-Aug-04,DLL,A,US,en
errors.sequence.invalid.mask,{0},Portlet - Mask Definition Form,04-Ste-08,DLL,A,US,en
errors.cap.associate.locked,{0} item(s) failed to add because of a lock condition.<br>, Error - Associated cap list,8-Sep-08,ADMIN,A,US,en
ACA_TextLengthValidator_InvalidMessage,{0} ({1} characters entered),ACA Admin,25-Jul-08,ADMIN,A,US,en
messages.ams.associate.duplicated,{0} {1} duplicated when added to {2}.,Error -Common,10/9/2005,AMS,A,US,en
messages.common.associate.success,{0} {1}(s) added successfully.,Messages - AMS,7-Jul-05,AMS,A,US,en
messages.ams.associate.success,{0} {1}(s) added to {2} successfully.,Messages - AMS,7-Jul-05,AMS,A,US,en
messages.ams.dissociate.success,{0} {1}(s) removed from {2} successfully.,Messages - AMS,7-Jul-05,AMS,A,US,en
messages.common.dissociate.success,{0} {1}(s) removed successfully.,Messages - AMS,7-Jul-05,AMS,A,US,en
addresstype.message.add.success,{0} address type(s) added successfully. ,Portlet - AddressType Group List,19-Jun-08,Admin,A,US,en
addresstype.message.add.label,{0} address type(s) added successfully.<br/> {1} address type(s) failed to add because it already exists.,Portlet - AddressType Group List,29-Apr-08,Xavier,A,US,en
addresstype.message.addFailed.label,{0} address type(s) failed to add because it already exists.,Portlet - AddressType Group List,29-Apr-08,Xavier,A,US,en
error.district.districtlist.dupicate.label,{0} already exists.,Error - District List,31-Aug-04,DLL,A,US,en
error.gis.portlet.getassociatedObjs.error,{0} are added.,Portlet - Quick Link,31-Aug-04,DLL,A,US,en
errors.ams.assetselecttoasset.recstatusErr.fail,{0} asset failed because its status is inactive.,Error - AMS Asset Data List,10-Oct-05,AndrewC,A,US,en
errors.ams.assetselecttoasset.targetself.fail,{0} asset failed because the selected asset is the target asset.,Error - AMS Asset Data List,10-Oct-05,AndrewC,A,US,en
message.pmschedule.linkedquickquery.executequickquery.success,{0} asset(s) added to the PM schedule successfully.,Portlet - PM Schedule Linked QuickQuery_2063,28-Sep-05,TonyW,A,US,en
errors.ams.assetselecttopmschedule.success,{0} asset(s) added to the PM schedule successfully.,Error - PM Schedule,10-Oct-05,AndrewC,A,US,en
errors.ams.select.success,{0} asset(s) added to work order successfully.,Error - AMS,10-Jun-05,DLL,A,US,en
errors.ams.assetselecttoasset.success,{0} asset(s) attached successfully.,Error - AMS Asset Data List,10-Oct-05,AndrewC,A,US,en
errors.ams.asset.addAsset,{0} asset(s) attached successfully. {1} asset(s) failed to attach because of an existing parent asset.,Portlet - Asset Linked Asset List,18-Apr-06,Amy,A,US,en
errors.ams.assetselecttoasset.fail,{0} asset(s) failed to attach because of an existing parent asset.,Error - AMS Asset Data List,10-Oct-05,AndrewC,A,US,en
ACA_FileUploadProcess_NormalInProgress_At,{0} at {1},ACA Admin,25-Jul-08,ADMIN,A,US,en
document.role.list.assign,Assign,Portlet -Document Role,6/22/2009,ADMIN,A,US,en
document.role.list.all,Select All,Portlet -Document Role,6/22/2009,ADMIN,A,US,en
errors.batchJob.running.label,{0} of the selected jobs already run.,Batch Engine,27/11/2008,DLL,A,US,en
errors.batchJob.required.label,{0} of the selected jobs still lack information to be executable.,Batch Engine,16/10/2009,DLL,A,US,en
errors.xrefcap.associate.itself.error,{0} cannot be associated with itself.,Portlet - XREFCAP Select,31-Aug-04,ADMIN,A,US,en
calendar.copy.item.type.conflict,{0} cannot be selected because the target calendar is not of {1} type.<br>,Portlet - Setup Calendar,4/23/2009,ADMIN,A,US,en
validation.error.maxlength,{0} cannot be greater than {1} character(s).,Error - Validation,31-Aug-04,DLL,A,US,en
validation.error.minlength,{0} cannot be less than {1} character(s).,Error - Validation,31-Aug-04,DLL,A,US,en
inspectionResult.errorMsg.completedflow.label,{0} cannot be resulted because it is complete in the inspection flow.,Portlet - inspection,25-Jul-08,DLL,A,US,en
error.inspection.flow.update.checkactive,{0} cannot be resulted because it is inactive in inspection flow.,Admin,10/22/2007 14:06,ADMIN,A,US,en
inspectionResult.errorMsg.inactiveflow.label,{0} cannot be resulted because it is inactive in inspection flow.,Portlet - inspection,25-Jul-08,DLL,A,US,en
inspectionResult.errorMsg.schedule.label,{0} cannot be scheduled or rescheduled because it has been scheduled but not resulted.,Portlet - inspection,25-Jul-08,DLL,A,US,en
inspectionResult.errorMsg.completed.label,{0} cannot be scheduled or rescheduled because it is involved and completed in inspection flow.,Portlet - inspection,25-Jul-08,DLL,A,US,en
inspectionResult.errorMsg.inactive.label,{0} cannot be scheduled or rescheduled because it is involved and inactive in inspection flow.,Portlet - inspection,25-Jul-08,DLL,A,US,en
inspectionResult.errorMsg.duplicate.schedule.label,{0} cannot be scheduled or rescheduled because same inspections are selected.,Portlet - inspection,11/5/2009,Admin,A,US,en
inspection.result.error.msg.duplicate.result.label,{0} cannot be resulted because you have selected inspections of the same type.,Portlet - inspection,5/5/2010,Admin,A,US,en
errors.common.null.label,{0} cannot be null.,Errors,1-Sep-09,AMS,A,US,en
error.inspection.guidesheet.hasfailitems,All checklist items must pass in order to pass this inspection.,Error - Inspection,24-Aug-09,Troy,A,US,en
error.inspection.guidesheet.hasfailitems.multiple,All checklist items must pass in order to pass the following inspections:{0},Error - Inspection,24-Aug-09,Troy,A,US,en
errors.setcommentsList.create.success,{0} Record(s) added successfully.<br/>,Error - Set Comments,31-Aug-04,DLL,A,US,en
fee.set.clonecap.success,{0} Record(s) cloned successfully.,Portlet - Set,5-May-07,ADMIN,A,US,en
error.set.statuschange.failed4captypesecurity,{0} Record(s) failed to update due to lack of permission.<br/>,Error - Set Status,31-Aug-04,DLL,A,US,en
error.set.statuschange.failed4condition,{0} Record(s) failed to update because of a lock condition.<br/>,Error - Set Status,31-Aug-04,DLL,A,US,en
errors.setcommentsList.update.success,{0} Record(s) updated successfully.<br/>,Error - Set Comments,31-Aug-04,DLL,A,US,en
errors.setrefOwnerList.lookup.capupdate,{0} Record(s) updated successfully.<br/>,Error - Set Owner,31-Aug-04,DLL,A,US,en
messages.set.statuschange.update.success,{0} Record(s) updated successfully.<br/>,Error - Set Status,31-Aug-04,DLL,A,US,en
fee.set.deletecap.success,{0} Record(s) deleted successfully from this set.,Portlet - Set,5-May-07,ADMIN,A,US,en
ref.comments.createsuccess.label,{0} comment(s) added successfully.,Portlet - Reference Comments List/Form,31-Aug-04,DLL,A,US,en
